S.NO,Student ID,PTSP,EMTL,ADC,LDICA,ECA,ECA LAB,LDICA LAB,ADC LAB,GS LAB,TOTAL
1,401,0,0,0,0,0,0,0,0,0,0
2,402,0,0,0,0,0,0,0,0,0,0
3,403,0,0,0,0,0,0,0,0,0,0
4,404,0,0,0,0,0,0,0,0,0,0
5,405,0,0,0,0,0,0,0,0,0,0
6,406,0,0,0,0,0,0,0,0,0,0
7,407,0,0,0,0,0,0,0,0,0,0
8,408,0,0,0,0,0,0,0,0,0,0
9,409,0,0,0,0,0,0,0,0,0,0
10,410,0,0,0,0,0,0,0,0,0,0
11,411,0,0,0,0,0,0,0,0,0,0
12,412,0,0,0,0,0,0,0,0,0,0
13,413,0,0,0,0,0,0,0,0,0,0
14,414,0,0,0,0,0,0,0,0,0,0
15,415,0,0,0,0,0,0,0,0,0,0
16,416,0,0,0,0,0,0,0,0,0,0
17,417,0,0,0,0,0,0,0,0,0,0
18,418,0,0,0,0,0,0,0,0,0,0
19,419,0,0,0,0,0,0,0,0,0,0
20,420,0,0,0,0,0,0,0,0,0,0
21,421,0,0,0,0,0,0,0,0,0,0
22,422,0,0,0,0,0,0,0,0,0,0
23,423,0,0,0,0,0,0,0,0,0,0
24,424,0,0,0,0,0,0,0,0,0,0
25,425,0,0,0,0,0,0,0,0,0,0
26,426,0,0,0,0,0,0,0,0,0,0
27,427,0,0,0,0,0,0,0,0,0,0
28,428,0,0,0,0,0,0,0,0,0,0
29,429,0,0,0,0,0,0,0,0,0,0
30,430,0,0,0,2,0,0,0,0,0,2
31,431,0,0,0,0,0,0,0,0,0,0
32,432,0,0,0,0,0,0,0,0,0,0
33,433,0,0,0,0,0,0,0,0,0,0
34,434,0,0,0,0,0,0,0,0,0,0
35,435,0,0,0,0,0,0,0,0,0,0
36,436,0,0,0,0,0,0,0,0,0,0
37,437,0,0,0,0,0,0,0,0,0,0
38,438,0,0,0,0,0,0,0,0,0,0
39,439,0,0,0,0,0,0,0,0,0,0
40,440,0,0,0,0,0,0,0,0,0,0
41,441,0,0,0,0,0,0,0,0,0,0
42,442,0,0,0,0,0,0,0,0,0,0
43,443,0,0,0,0,0,0,0,0,0,0
44,444,0,0,0,0,0,0,0,0,0,0
45,445,0,0,0,0,0,0,0,0,0,0
46,446,0,0,0,0,0,0,0,0,0,0
47,447,0,0,0,0,0,0,0,0,0,0
48,448,0,0,0,0,0,0,0,0,0,0
49,449,0,0,0,0,0,0,0,0,0,0
50,450,0,0,0,0,0,0,0,0,0,0
51,451,0,0,0,0,0,0,0,0,0,0
52,452,0,0,0,0,0,0,0,0,0,0
53,453,0,0,0,0,0,0,0,0,0,0
54,454,0,0,0,0,0,0,0,0,0,0
55,455,0,0,0,0,0,0,0,0,0,0
56,456,0,0,0,0,0,0,0,0,0,0
57,457,0,0,0,0,0,0,0,0,0,0
58,458,0,0,0,0,0,0,0,0,0,0
59,459,0,0,0,0,0,0,0,0,0,0
60,460,0,0,0,0,0,0,0,0,0,0
61,461,0,0,0,0,0,0,0,0,0,0
62,462,0,0,0,0,0,0,0,0,0,0
63,463,0,0,0,0,0,0,0,0,0,0
64,464,0,0,0,0,0,0,0,0,0,0
